,clonesize,bumbles,andrena,osmia,MaxOfUpperTRange,MinOfUpperTRange,MaxOfLowerTRange,MinOfLowerTRange,honeybeeBC,AverageOfUpperTRangeSC,AverageOfLowerTRangeSC,RainingDaysSC,AverageRainingDaysSC,fruitsetSC,fruitmassSC,seedsSC
0,37.5,0.25,0.25,0.25,86.0,52.0,62.0,30.0,0.30148071648063113,0.4300092331518638,0.41932681172330444,-0.20603941320690605,-0.37709676062477093,-1.277828134414806,-1.0442495661799096,-1.1287416003881738
1,37.5,0.25,0.25,0.25,86.0,52.0,62.0,30.0,0.30148071648063113,0.4300092331518638,0.41932681172330444,-1.4502174544134907,-1.3263076861137337,-0.8278350923782555,-0.5923026178784018,-0.7018138292929401
2,37.5,0.25,0.25,0.25,94.6,57.2,68.2,33.0,0.30148071648063113,1.3489227002899185,1.3549808659013436,-0.20603941320690605,-0.37709676062477093,-1.6376045264937955,-1.2790350819230056,-1.4018502431939308
3,37.5,0.25,0.25,0.25,94.6,57.2,68.2,33.0,0.30148071648063113,1.3489227002899185,1.3549808659013436,-1.4502174544134907,-1.3263076861137337,-1.319180579927726,-1.0277811477321714,-1.156788694121415
4,37.5,0.25,0.25,0.25,86.0,52.0,62.0,30.0,0.30148071648063113,0.4300092331518638,0.41932681172330444,0.4575222087699391,0.3941371163350113,-2.0309661042427063,-1.7093212718236672,-1.8051722136073403
5,37.5,0.25,0.25,0.25,86.0,52.0,62.0,30.0,0.30148071648063113,0.4300092331518638,0.41932681172330444,1.2869742362409955,1.4026737246670344,-2.630160402624466,-2.1382951967605575,-2.1736905097137607
8,37.5,0.25,0.25,0.25,77.4,46.8,55.8,27.0,0.30148071648063113,-0.5018466771853194,-0.4979810845296749,-0.20603941320690605,-0.37709676062477093,-1.0458168083573922,-0.8730727425687478,-0.9707363176512763
9,37.5,0.25,0.25,0.25,77.4,46.8,55.8,27.0,0.30148071648063113,-0.5018466771853194,-0.4979810845296749,-1.4502174544134907,-1.3263076861137337,-0.5585069469212032,-0.3078392202710887,-0.364086726316059
10,37.5,0.25,0.25,0.25,69.7,42.1,50.2,24.3,0.30148071648063113,-1.3431054851286093,-1.3419043490824147,-0.20603941320690605,-0.37709676062477093,-1.6895681140772842,-1.8944648030518378,-1.7558256219930046
11,37.5,0.25,0.25,0.25,86.0,52.0,62.0,30.0,0.17108348999637246,0.4300092331518638,0.41932681172330444,-0.20603941320690605,-0.37709676062477093,-1.4341780729735354,-1.01524811336289,-1.1483899109221039
12,37.5,0.25,0.25,0.25,86.0,52.0,62.0,30.0,0.17108348999637246,0.4300092331518638,0.41932681172330444,-1.4502174544134907,-1.3263076861137337,-0.9199651534267189,-0.5579293906141455,-0.6817296825978654
13,37.5,0.25,0.25,0.25,94.6,57.2,68.2,33.0,0.17108348999637246,1.3489227002899185,1.3549808659013436,-0.20603941320690605,-0.37709676062477093,-1.8907849848962954,-1.3714237815061696,-1.5035321388432437
14,37.5,0.25,0.25,0.25,94.6,57.2,68.2,33.0,0.17108348999637246,1.3489227002899185,1.3549808659013436,-1.4502174544134907,-1.3263076861137337,-1.6707127119562217,-1.1925983143841472,-1.3421848073313642
15,37.5,0.25,0.25,0.25,86.0,52.0,62.0,30.0,0.17108348999637246,0.4300092331518638,0.41932681172330444,0.4575222087699391,0.3941371163350113,-2.0882362203705283,-1.5348429371242336,-1.6420444724600776
