,yield
0,3813.165795
1,4947.605663
2,3866.798965
3,4303.94303
4,3436.493543
5,2825.003738
8,4234.868585
9,5356.871861
10,4057.555205
11,3941.255122
12,4768.594369
13,3720.711588
14,3900.344042
15,3387.785165
19,4310.625398
20,4830.959809
21,3911.422247
22,4051.551293
23,3837.512961
24,3269.271761
25,4503.161856
26,5126.993178
27,4248.355054
28,4476.811464
29,3662.183125
30,2988.05944
31,3049.260316
33,4898.835857
34,5831.7066
35,4334.841218
36,5246.521458
37,4356.945873
38,3822.981667
39,3182.698648
40,4870.625368
41,5739.924933
42,4546.786741
43,5360.873908
44,4045.479657
45,3385.364224
46,3385.148001
48,5221.357411
49,6318.708722
50,4705.626533
51,5996.078548
52,6691.043218
53,5501.878077
54,6010.760082
55,4999.156215
56,3968.330182
57,3784.119353
58,3139.432546
59,6125.695384
60,7041.380179
61,5876.960007
62,6244.195761
63,5556.372277
64,5086.609905
65,5482.081299
66,4247.508926
67,6578.235221
68,7267.28344
69,5746.777027
70,6564.958302
71,5347.718939
72,4350.42467
73,4177.015203
74,3496.352359
75,7016.89385
76,7570.48492
77,6198.064956
78,6801.323934
79,6030.980735
80,5728.748277
81,5647.712261
82,4667.724945
83,6986.809961
84,7660.886044
85,6626.506846
86,7122.490558
87,5852.874202
88,4684.893205
89,4590.823341
90,3708.205024
91,7022.189731
92,7825.874922
93,6394.077909
94,7152.132587
95,6475.894556
96,6093.315271
97,6254.829217
98,4868.211449
99,7451.725625
100,8263.289742
101,6960.107506
102,7301.106216
103,6443.256903
104,5150.942889
105,4853.807603
106,4068.350665
107,7502.24389
108,8174.463377
109,6898.390949
110,6870.342118
111,6808.263611
112,6400.022213
113,6480.80815
114,5063.851086
115,7924.516776
116,8247.521164
117,7230.132504
118,7945.187841
119,6673.303998
120,5217.139763
121,4905.498714
122,4357.822918
123,7829.514
124,8621.81568
125,6922.846792
126,7215.409709
127,7322.609141
128,7044.567605
129,6615.690061
130,5377.270863
131,6026.063649
132,6752.177036
133,5643.360448
134,6277.168674
135,5085.844733
136,4079.912436
137,4016.361596
138,3049.397713
139,6529.982317
140,7181.425216
141,5914.16491
142,6569.249674
143,5864.128447
144,5402.484081
145,5674.028523
146,4340.82151
147,6683.200614
148,7411.174571
149,5934.010884
150,6795.881873
151,5534.804936
152,4673.380523
153,4228.818878
154,3494.942958
155,7024.748359
156,7669.811819
157,6376.662565
158,6746.454602
159,6299.226358
160,5817.185275
161,5741.210297
162,4802.604302
163,7198.422854
164,7765.256323
165,6281.91711
166,6822.971627
167,6098.113172
168,4850.037463
169,4769.318273
170,3826.172262
171,7235.775645
172,7935.094765
